code,pop,name,perc,logperc
51015,73658,"Augusta County, VA",0.00023464385345746243,-8.357441710580195
51017,4652,"Bath County, VA",1.4819343537485612e-05,-11.119577234793638
51019,69590,"Bedford County, VA",0.00022168489182580045,-8.414253590593297
51021,6738,"Bland County, VA",2.1464474796985826e-05,-10.749111324465694
51023,33154,"Botetourt County, VA",0.000105614900180954,-9.155711096447382
51025,17010,"Brunswick County, VA",5.4186808592568844e-05,-9.823073063042285
51027,23859,"Buchanan County, VA",7.600488337507937e-05,-9.484712964806947
51029,17088,"Buckingham County, VA",5.443528425807269e-05,-9.818498006672272
51031,55163,"Campbell County, VA",0.00017572645046395503,-8.646582030766758
51033,28972,"Caroline County, VA",9.22927818074018e-05,-9.290544623116977
51035,29851,"Carroll County, VA",9.50929114225028e-05,-9.260656129335064
51036,7157,"Charles City County, VA",2.2799235102705187e-05,-10.688783570693596
51037,12404,"Charlotte County, VA",3.9514001986021395e-05,-10.138855468211853
51041,323856,"Chesterfield County, VA",0.0010316709631719562,-6.876575496896876
51043,14323,"Clarke County, VA",4.562714047450697e-05,-9.995007832652329
51045,5213,"Craig County, VA",1.6606456977840175e-05,-11.005718963664087
51047,47911,"Culpeper County, VA",0.000152624584743008,-8.78752934630364
51049,9849,"Cumberland County, VA",3.137483114804295e-05,-10.36950454226249
51051,15690,"Dickenson County, VA",4.9981835791734576e-05,-9.903850902705114
51053,27994,"Dinwiddie County, VA",8.917727923223823e-05,-9.324884267951601
51057,11233,"Essex County, VA",3.578368141800857e-05,-10.238018594790624
51059,1118602,"Fairfax County, VA",0.0035634022613324334,-5.637039499114945
51061,66542,"Fauquier County, VA",0.00021197522735841951,-8.459041142202924
51063,15390,"Floyd County, VA",4.9026160155181334e-05,-9.923156521599267
51065,25967,"Fluvanna County, VA",8.272009751459348e-05,-9.400047968353382
51067,56411,"Franklin County, VA",0.00017970206111201652,-8.624210294501992
51069,80317,"Frederick County, VA",0.0002558566670034892,-8.270893164801798
51071,16928,"Giles County, VA",5.392559058524429e-05,-9.827905413774166
51073,36886,"Gloucester County, VA",0.00011750350509967633,-9.049042394189442
51075,21347,"Goochland County, VA",6.800269271167355e-05,-9.595963254871094
51077,15183,"Grayson County, VA",4.8366743965959595e-05,-9.936698088550006
51079,18771,"Greene County, VA",5.979662457913638e-05,-9.72456134376572
51081,11851,"Greensville County, VA",3.775237322930825e-05,-10.184462217243745
51083,35849,"Halifax County, VA",0.0001142000529826573,-9.07755879679626
51085,100668,"Hanover County, VA",0.000320686516601806,-8.045046495797898
51087,314932,"Henrico County, VA",0.0010032427985699525,-6.9045177269442295
51089,52969,"Henry County, VA",0.00016873727597529567,-8.687167632682359
51091,2245,"Highland County, VA",7.15163934687343e-06,-11.848168948255838
